LTLACode,2019-03,2019-06,2019-09,2019-12,2020-03,2020-06,2020-09,2020-12,2021-03,2021-06,2021-09,2021-12,2022-03
E06000001,"125,000","126,500","129,950","129,950","128,500","130,000","130,000","131,375","133,500","137,000","135,000","132,000","132,000"
E06000002,"133,500","132,975","134,950","135,995","136,975","135,000","135,000","133,000","135,000","135,000","137,000","133,250","130,000"
E06000003,"131,995","130,000","130,000","131,000","132,995","133,000","134,748","135,000","140,000","140,000","143,000","140,000","140,000"
E06000004,"146,500","147,500","146,500","149,950","150,000","150,000","150,500","154,950","155,500","157,500","158,000","152,000","150,000"
E06000005,"142,995","141,000","140,000","143,000","144,950","145,000","149,950","150,000","152,500","155,000","153,000","147,500","142,500"
E06000047,"119,000","120,000","120,995","120,000","121,995","120,000","120,000","124,000","125,000","128,000","128,000","125,000","123,000"
E06000057,"169,000","168,000","169,000","167,000","167,500","168,000","168,000","179,000","184,975","188,000","185,000","177,500","171,000"
E08000021,"161,500","160,500","164,995","164,995","162,500","164,000","165,000","172,000","183,000","186,000","184,000","179,995","175,000"
E08000022,"170,000","170,000","174,000","173,000","173,500","172,500","170,250","177,000","182,000","184,725","180,050","175,000","170,000"
E08000023,"136,500","137,000","135,895","135,100","136,500","135,000","135,000","140,000","145,495","149,000","149,950","142,500","140,000"
E08000024,"129,950","129,541","130,000","130,000","128,000","125,500","127,000","128,625","134,000","137,000","138,000","135,000","132,000"
E08000037,"138,500","139,950","140,000","138,250","140,000","139,000","141,000","145,375","150,000","150,000","148,500","143,753","137,260"
E06000006,"141,500","145,000","147,500","150,000","150,000","150,000","151,000","154,000","158,000","162,250","160,250","158,000","158,000"
E06000007,"185,000","188,000","190,000","192,000","195,000","195,000","200,000","205,000","219,000","225,000","226,000","229,950","225,000"
E06000008,"120,000","120,000","122,000","123,000","125,000","122,000","124,000","128,000","132,250","135,000","138,000","130,000","130,000"
E06000009,"110,000","111,500","114,000","115,000","118,000","118,000","118,000","119,000","120,000","122,000","125,000","125,000","126,250"
E06000049,"235,000","236,995","238,000","240,000","240,000","238,000","240,000","249,000","260,000","272,000","265,000","259,997","250,000"
E06000050,"195,995","199,000","200,000","204,995","208,000","207,995","210,000","220,000","228,500","235,000","235,000","231,998","228,875"
E07000026,"165,000","165,000","165,000","164,000","163,500","165,000","163,250","170,000","178,500","177,500","172,000","160,000","155,000"
E07000027,"125,000","125,000","128,000","126,250","127,000","126,000","126,000","130,000","136,500","140,000","140,000","139,450","137,250"
E07000028,"142,000","143,800","145,000","145,000","145,000","144,998","145,000","152,000","156,000","156,000","155,000","147,500","143,550"
E07000029,"123,000","122,500","125,000","127,500","130,000","130,000","130,000","130,000","134,950","136,500","137,000","135,000","130,000"
E07000030,"210,000","210,000","210,000","205,000","207,750","204,998","200,000","219,500","226,995","231,950","230,000","225,000","225,000"
E07000031,"225,000","230,000","240,000","245,000","249,998","245,000","248,000","252,750","265,000","275,000","265,000","260,000","251,250"
E07000117,"90,000","92,750","92,750","94,000","97,950","97,000","100,000","103,000","105,000","113,500","117,500","117,000","118,000"
E07000118,"168,500","170,000","170,000","174,750","175,000","174,000","177,500","181,500","185,000","194,995","195,000","188,000","188,000"
E07000119,"194,475","195,000","198,000","199,000","200,000","205,000","209,950","215,000","221,995","228,000","221,995","217,500","212,500"
E07000120,"102,250","100,000","102,000","110,000","110,000","112,000","110,000","109,500","110,000","111,500","115,000","118,500","120,000"
E07000121,"152,000","155,000","155,000","158,000","159,975","159,950","161,000","168,750","175,000","178,000","180,000","180,000","175,000"
E07000122,"106,000","106,000","110,000","110,000","112,950","113,000","116,000","120,000","124,500","129,450","132,500","130,000","128,975"
E07000123,"144,500","143,000","145,000","150,000","150,000","148,740","152,000","152,000","160,000","160,000","160,000","158,500","155,000"
E07000124,"220,000","225,995","230,000","237,998","239,995","237,750","235,000","237,500","235,000","245,000","245,000","238,000","240,250"
E07000125,"135,000","135,000","135,000","135,000","138,750","140,000","145,000","150,000","160,000","165,000","170,000","166,750","165,000"
E07000126,"163,000","165,000","165,000","165,000","167,500","168,000","170,000","177,950","180,000","182,291","185,000","182,250","180,000"
E07000127,"190,000","191,998","192,500","190,000","188,995","190,000","187,500","195,000","210,000","210,000","212,500","203,000","197,500"
E07000128,"152,000","154,000","155,000","158,000","162,000","162,500","165,000","169,950","174,000","177,000","175,000","173,000","171,000"
E08000001,"135,000","135,000","137,000","138,000","140,000","140,000","144,950","148,000","152,000","157,000","160,000","162,000","162,500"
E08000002,"170,000","170,000","173,375","175,000","175,000","178,000","180,000","187,500","197,500","210,000","212,000","212,250","213,000"
E08000003,"175,000","177,026","180,000","181,000","187,000","190,000","195,000","205,995","213,000","219,975","218,000","216,000","213,000"
E08000004,"132,000","135,000","135,000","137,000","137,000","139,500","140,000","150,000","163,000","167,000","170,500","170,000","169,950"
E08000005,"135,000","135,050","140,000","140,500","141,500","142,500","145,500","150,000","157,000","164,995","166,000","165,000","165,000"
E08000006,"160,000","160,000","164,950","170,500","173,000","180,000","185,000","190,000","197,000","200,000","202,500","200,000","200,000"
E08000007,"225,000","227,000","225,000","227,000","227,000","226,000","233,000","248,000","260,000","275,000","271,636","270,000","266,000"
E08000008,"143,000","145,000","148,500","152,000","153,000","152,500","155,000","160,000","165,000","170,000","175,000","175,000","178,000"
E08000009,"256,000","267,500","270,275","271,500","280,000","282,000","283,000","297,000","315,000","321,000","320,000","320,000","320,000"
E08000010,"140,000","145,000","145,000","146,995","149,000","145,000","149,995","150,100","155,000","158,000","160,000","160,000","160,000"
E08000011,"140,000","143,000","150,000","152,000","155,995","155,995","158,000","159,995","160,000","160,000","160,000","160,000","159,975"
E08000012,"125,000","125,728","126,995","128,000","130,000","130,000","130,995","139,000","149,003","155,000","157,000","155,000","150,750"
E08000013,"134,950","133,500","135,000","138,000","139,973","140,000","143,000","145,995","150,000","155,000","155,000","155,000","155,000"
E08000014,"170,000","170,995","173,000","175,000","175,000","175,000","176,500","185,000","192,000","198,500","200,000","196,250","196,000"
E08000015,"165,000","164,950","165,000","166,500","165,000","165,000","165,975","170,000","180,500","192,500","195,000","195,000","190,000"
E06000010,"115,000","118,000","120,000","120,000","120,000","120,000","120,000","120,000","122,750","125,000","125,000","125,000","125,000"
E06000011,"180,000","180,000","182,000","185,000","185,000","185,000","190,000","198,000","207,000","210,000","210,000","205,000","200,000"
E06000012,"130,000","132,500","133,000","133,000","135,000","135,000","137,000","143,500","146,000","148,000","150,000","145,000","144,000"
E06000013,"140,000","141,000","142,500","142,500","143,000","145,000","145,000","150,000","155,000","160,000","162,500","160,000","160,000"
E06000014,"240,750","242,000","243,500","245,000","247,000","248,000","250,000","257,000","269,000","275,000","275,000","275,000","275,000"
E07000163,"202,500","212,000","214,950","220,000","225,000","229,950","230,000","237,250","239,000","242,500","240,000","230,500","235,000"
E07000164,"229,950","229,950","230,000","235,000","239,950","240,000","240,000","250,000","265,000","273,000","269,000","265,000","255,000"
E07000165,"274,000","274,998","272,500","293,500","297,500","295,000","299,950","300,000","314,475","325,000","317,230","310,500","300,000"
E07000166,"210,000","215,000","210,000","210,000","210,000","200,000","200,000","225,000","230,000","245,100","246,000","237,500","235,000"
E07000167,"230,000","230,000","221,000","222,000","224,950","229,950","234,950","247,998","252,498","255,000","249,995","245,000","247,000"
E07000168,"157,450","159,000","160,000","162,500","164,000","164,000","168,750","175,000","179,950","184,000","185,000","181,000","182,250"
E07000169,"200,000","203,900","205,000","210,000","212,000","207,500","210,000","220,000","223,000","226,500","225,000","220,000","220,000"
E08000016,"132,188","135,000","135,000","137,000","135,000","134,975","135,000","138,000","142,000","145,000","145,000","143,500","140,000"
E08000017,"130,000","130,000","131,500","133,000","135,000","135,000","138,000","140,000","145,248","150,000","151,000","151,000","150,000"
E08000018,"140,000","140,000","140,000","140,000","145,000","144,000","145,000","152,100","157,500","162,000","165,000","164,000","163,000"
E08000019,"160,000","159,995","160,000","162,000","163,528","165,000","168,500","168,500","177,500","181,000","184,000","185,000","180,000"
E08000032,"137,000","139,950","138,000","139,950","140,000","138,000","140,000","146,000","151,000","155,000","155,000","150,000","150,000"
E08000033,"142,500","143,000","145,000","147,500","148,000","147,750","149,975","151,750","157,500","161,000","165,000","161,750","162,500"
E08000034,"153,250","155,000","155,000","157,000","160,000","158,625","160,000","165,000","170,000","177,000","177,500","175,000","173,000"
E08000035,"177,500","179,000","180,000","184,973","187,000","189,950","194,000","200,000","210,000","220,000","220,000","217,000","215,000"
E08000036,"154,950","155,000","156,000","158,000","160,000","158,000","159,950","160,000","165,000","170,000","174,000","173,335","171,500"
E06000015,"159,950","165,000","165,000","170,000","170,000","170,000","170,000","172,500","180,000","184,975","185,000","185,000","182,750"
E06000016,"173,000","175,000","177,000","177,000","180,000","180,000","183,000","190,000","200,000","207,000","210,000","215,000","217,000"
E06000017,"274,950","274,950","270,000","275,000","276,000","288,500","312,500","315,000","325,000","340,000","321,000","301,000","287,500"
E06000018,"140,000","140,000","140,000","140,000","140,000","143,375","147,925","153,500","160,000","162,000","165,000","166,000","168,000"
E07000032,"173,500","175,000","175,000","176,495","177,000","176,498","177,000","181,000","196,000","202,750","205,000","202,000","196,000"
E07000033,"132,000","133,748","133,748","135,000","135,750","135,000","139,950","145,000","150,000","152,500","155,000","152,995","150,000"
E07000034,"154,000","155,000","152,000","155,000","157,000","157,750","164,000","171,000","178,500","180,000","180,000","178,500","176,000"
E07000035,"265,000","270,000","269,950","265,000","263,750","255,500","266,000","275,000","290,000","290,000","290,000","290,000","283,975"
E07000036,"160,000","163,500","160,000","160,000","163,000","164,000","168,000","172,500","175,488","180,000","185,000","187,350","188,500"
E07000037,"190,000","190,000","191,000","190,000","195,000","195,000","195,000","200,000","215,000","220,000","222,500","220,000","218,000"
E07000038,"181,998","182,995","185,000","190,000","190,000","195,000","199,998","208,000","215,000","218,000","215,000","208,000","202,000"
E07000039,"214,950","215,000","218,000","218,000","217,995","214,495","215,000","219,950","225,000","225,000","225,000","222,500","218,750"
E07000129,"222,000","222,500","220,000","218,000","220,000","220,000","226,998","232,500","239,475","246,250","249,500","250,000","253,500"
E07000130,"218,000","220,000","222,500","223,000","222,500","222,500","225,748","230,000","242,500","245,745","245,623","245,000","240,000"
E07000131,"282,748","285,000","292,000","294,995","291,975","290,000","295,000","309,975","320,000","326,000","320,000","315,000","310,000"
E07000132,"202,500","205,000","205,000","204,000","200,000","201,000","206,500","215,000","227,000","231,800","233,720","235,000","235,000"
E07000133,"218,000","222,000","221,250","224,475","221,000","220,000","220,000","235,000","245,000","255,000","260,000","249,995","249,950"
E07000134,"210,000","207,000","207,500","215,000","218,000","220,000","227,000","230,000","238,000","243,500","240,000","240,000","235,000"
E07000135,"208,250","210,000","215,000","225,000","230,000","230,000","235,000","235,000","245,000","250,000","250,000","250,000","248,000"
E07000136,"160,000","162,500","165,000","168,000","166,950","168,648","169,000","169,000","175,000","180,000","185,000","185,000","180,000"
E07000137,"169,950","170,000","172,000","175,000","175,000","175,000","177,500","180,000","185,000","190,000","195,000","198,500","199,950"
E07000138,"152,500","155,000","152,500","155,000","155,000","155,000","159,950","160,000","165,000","170,000","172,000","172,000","175,000"
E07000139,"195,995","198,000","202,500","200,000","202,375","200,000","202,000","212,000","220,000","225,000","227,500","225,000","227,000"
E07000140,"185,000","185,995","185,000","187,000","190,000","189,950","192,000","197,498","205,995","212,000","215,000","220,000","220,000"
E07000141,"214,995","215,000","214,300","215,000","215,995","217,000","220,000","225,500","236,360","243,000","242,000","240,000","239,950"
E07000142,"178,000","177,000","178,000","179,000","180,000","180,000","185,000","198,750","207,500","215,000","212,250","212,250","208,000"
E06000061 ,"209,000","209,000","210,000","212,500","212,000","212,973","217,000","220,000","230,000","234,498","233,498","232,500","230,000"
E06000062 ,"248,250","245,000","245,500","245,500","247,000","245,000","245,443","252,500","265,000","274,000","275,000","272,000","268,000"
E07000170,"144,000","143,500","145,000","144,500","145,000","146,000","145,000","153,000","160,000","164,950","170,000","170,000","170,000"
E07000171,"157,500","158,250","160,000","163,000","165,321","169,225","170,000","175,000","177,500","180,000","185,000","180,000","179,000"
E07000172,"178,500","180,000","185,000","186,000","189,500","190,000","192,500","200,000","208,000","213,000","215,000","215,000","215,000"
