MSOACode,2019-03,2019-06,2019-09,2019-12,2020-03,2020-06,2020-09,2020-12,2021-03,2021-06,2021-09,2021-12,2022-03
E02004297,"144,881","150,773","155,679","150,155","148,388","146,807","144,939","153,201","152,445","152,631","152,647","151,360","146,245"
E02004290,"155,241","153,742","147,967","147,852","140,184","137,871","144,217","151,937","168,911","167,897","168,980","170,174","161,899"
E02004298,"176,610","166,674","163,011","169,668","174,902","181,768","178,648","188,025","194,038","214,753","217,844","228,198","234,583"
E02004299,"107,092","104,209","116,669","123,191","119,083","115,139","105,014","99,817","104,399","104,100","110,108","112,393","118,475"
E02004291,"119,827","111,540","111,464","107,034","105,907","106,064","114,109","111,167","114,909","116,584","107,172","106,632","107,962"
E02004300,"99,776","104,066","100,815","106,031","103,084","97,178","103,181","97,600","106,595","112,526","113,942","111,983","111,394"
E02004292,"213,318","214,980","201,143","194,565","191,760","188,970","192,902","210,920","214,641","220,771","216,477","210,555","207,010"
E02004301,"114,723","110,079","112,957","111,255","112,841","110,762","109,656","105,668","98,047","98,638","98,193","96,101","105,234"
E02004302,"83,600","87,429","79,556","79,441","79,903","74,224","78,922","78,311","84,753","85,395","91,861","88,346","81,284"
E02004303,"101,058","103,187","102,900","104,653","105,458","105,238","104,040","107,699","106,979","111,445","117,381","118,637","124,920"
E02004293,"127,789","129,224","120,113","115,916","117,291","119,978","133,761","141,122","143,428","145,821","142,925","136,787","135,827"
E02004304,"109,900","117,636","115,120","115,564","110,405","106,535","117,396","123,178","128,105","138,663","136,244","135,463","132,245"
E02004294,"175,150","175,521","184,135","185,501","177,003","182,163","185,877","193,350","199,837","202,451","198,833","190,249","192,682"
E02004305,"141,152","147,367","152,370","146,162","150,846","149,147","138,415","146,597","142,398","144,040","151,486","148,807","144,539"
E02004295,"139,714","148,007","154,508","169,670","180,495","183,635","178,302","180,906","188,819","194,456","192,211","190,555","178,705"
E02004320,"158,434","168,678","170,281","168,948","166,030","153,175","153,324","171,811","183,330","201,959","197,904","199,357","190,431"
E02004321,"112,212","107,916","109,071","117,782","118,171","121,643","117,307","112,003","114,838","110,988","114,785","114,661","115,238"
E02004322,"97,763","106,174","107,071","109,629","118,602","120,333","122,684","133,366","138,125","131,762","136,463","126,020","116,133"
E02004296,"129,518","117,889","117,688","118,775","118,398","124,537","137,709","144,550","143,046","149,330","147,778","146,251","146,744"
E02004306,"174,819","182,244","177,199","199,309","206,682","213,427","210,573","201,656","215,718","211,862","209,878","214,377","205,343"
E02004323,"93,253","96,228","98,563","98,442","98,170","91,638","84,107","87,804","97,492","106,123","116,895","116,194","116,553"
E02004308,"171,885","170,477","174,823","179,635","177,984","177,164","172,514","183,779","206,895","222,469","224,192","221,152","217,141"
E02004309,"154,725","152,984","149,286","148,265","158,349","158,702","181,668","175,024","163,525","166,899","152,911","154,217","164,033"
E02004307,"141,485","127,453","125,948","126,822","131,402","118,451","123,766","136,603","138,139","138,459","130,194","143,000","149,811"
E02004324,"99,072","96,359","98,211","92,622","97,295","100,926","96,209","118,206","131,997","132,311","149,640","138,521","128,310"
E02004310,"122,490","131,225","134,246","126,313","133,444","135,731","148,130","163,993","170,556","169,751","161,470","160,869","160,399"
E02004311,"136,104","140,975","144,455","134,264","138,482","134,748","137,918","145,129","148,862","163,605","167,326","161,503","162,385"
