MSOACode,2019-03,2019-06,2019-09,2019-12,2020-03,2020-06,2020-09,2020-12,2021-03,2021-06,2021-09,2021-12,2022-03
E02004297,"127,975","135,000","142,995","137,475","140,000","135,480","130,000","132,000","130,000","130,000","129,000","135,500","129,000"
E02004290,"157,500","150,000","141,250","139,500","131,750","139,000","140,000","150,000","152,500","155,000","161,000","165,000","165,000"
E02004298,"145,000","136,500","135,000","140,000","142,500","153,000","140,000","160,000","164,000","175,000","179,000","175,000","180,000"
E02004299,"93,000","90,000","100,000","111,000","97,000","90,000","83,000","87,500","90,000","89,995","88,750","88,375","90,000"
E02004291,"114,950","105,000","112,500","105,000","108,500","107,000","91,975","83,500","92,000","97,000","98,000","97,500","98,000"
E02004300,"80,000","80,000","80,000","84,000","81,000","81,750","94,000","93,500","94,000","89,975","91,500","88,975","94,000"
E02004292,"199,995","199,995","198,000","183,500","179,975","186,748","190,000","212,995","210,000","208,000","200,500","192,750","190,750"
E02004301,"110,995","99,950","109,995","107,500","109,995","105,995","100,000","99,950","84,500","86,000","84,000","81,000","84,500"
E02004302,"78,725","81,250","75,000","74,950","69,500","59,000","62,000","54,000","58,500","62,000","72,000","71,000","65,000"
E02004303,"90,000","90,000","88,500","89,950","90,500","91,250","94,000","94,000","94,500","95,000","98,725","97,000","100,000"
E02004293,"99,975","107,500","100,000","108,000","108,000","111,000","120,000","125,000","124,125","120,000","120,000","118,250","119,000"
E02004304,"87,000","91,000","88,000","90,500","86,500","85,000","89,950","95,000","99,000","112,500","115,000","113,750","111,250"
E02004294,"165,000","165,500","170,000","172,500","167,500","173,000","173,000","174,325","172,750","170,000","172,500","168,975","175,000"
E02004305,"136,450","138,000","143,495","138,000","136,450","136,450","125,000","136,450","132,500","137,000","145,000","142,000","140,000"
E02004295,"120,000","133,000","142,000","149,500","158,000","170,000","158,000","175,000","170,000","175,000","177,500","171,250","161,000"
E02004320,"140,000","140,000","149,000","146,500","142,500","135,500","133,975","160,000","164,500","177,000","170,000","160,000","153,000"
E02004321,"99,000","97,750","95,000","102,000","100,000","103,500","100,000","94,950","93,000","90,000","97,000","96,000","100,225"
E02004322,"81,271","85,000","89,000","89,975","109,620","109,995","119,995","149,995","145,598","113,500","119,995","91,000","90,000"
E02004296,"112,250","107,000","109,250","113,000","105,000","117,000","127,500","137,500","135,000","137,500","134,000","125,000","125,000"
E02004306,"145,000","150,000","150,000","158,250","159,500","178,000","170,000","160,000","181,000","179,950","178,000","172,500","159,995"
E02004323,"78,500","78,500","82,000","81,000","81,000","79,475","74,000","79,500","80,000","81,000","88,000","90,000","92,500"
E02004308,"167,500","163,500","171,000","176,750","175,000","174,475","173,950","172,750","178,000","188,500","190,000","191,500","199,450"
E02004309,"126,500","130,000","128,000","126,500","133,000","130,000","142,000","138,750","130,500","130,500","130,000","130,000","135,000"
E02004307,"93,000","91,475","92,225","95,000","90,750","89,000","89,500","93,000","97,250","92,500","93,000","105,000","105,000"
E02004324,"50,000","59,950","67,000","56,250","59,950","59,975","57,475","79,750","89,950","89,500","105,000","93,750","85,500"
E02004310,"98,000","120,000","113,500","112,500","115,000","108,500","115,000","115,000","125,000","115,000","112,000","120,000","115,000"
E02004311,"112,995","112,998","115,000","113,000","115,000","117,000","120,000","126,000","127,000","128,475","129,225","120,000","120,000"
E02004312,"149,000","148,000","148,000","151,000","156,000","158,000","163,000","160,000","164,000","169,975","167,500","170,000","165,000"
E02004313,"119,975","119,950","119,950","122,500","124,998","125,000","125,000","125,000","125,500","135,000","134,000","146,750","146,000"
E02004314,"242,000","243,500","260,000","260,000","267,144","260,000","262,500","256,453","260,727","279,950","284,952","283,475","276,352"
E02004316,"110,000","110,000","114,750","95,000","93,500","88,000","84,000","82,750","85,500","85,250","86,500","90,975","92,000"
E02004325,"81,500","90,123","84,995","78,000","66,000","65,000","63,000","61,750","62,250","68,000","70,000","76,750","77,999"
E02004315,"269,995","274,500","276,500","284,995","286,250","287,579","299,995","296,248","285,000","294,950","284,995","288,750","300,000"
