MSOACode,Value,LowerConfidenceInterval,UpperConfidenceInterval
E02006397,74.5,73.1,75.9
E02005976,74,72.4,75.6
E02006332,72.8,71.3,74.2
E02000791,74.7,72.8,76.6
E02005097,73.6,72.2,75
E02000592,75.6,73.9,77.3
E02005781,76.1,74.3,77.9
E02005995,73.4,72.2,74.5
E02006701,70.8,69,72.5
E02000588,76.7,75.2,78.3
E02005942,77.6,76.1,79.1
E02006334,74.6,72.6,76.5
E02003026,73.5,72.5,74.6
E02006383,73.5,72.4,74.7
E02006426,71.2,70,72.4
E02006457,72.9,71.8,74
E02004760,73.6,72.3,74.9
E02003689,76,74.7,77.4
E02006420,73.1,71.9,74.3
E02005778,75.4,73.9,77
E02004697,72.2,70.7,73.8
E02006318,73.7,72.4,75
E02006380,72.6,71.3,74
E02006346,74.1,72.8,75.5
E02004468,73.4,72,74.8
E02003452,75.6,73.5,77.7
E02006839,70.3,69,71.7
E02006321,72.8,71.5,74.1
E02006836,71.6,70.6,72.7
E02004924,74.9,73.2,76.7
E02004652,71.9,70.7,73.2
E02004959,72.5,71.3,73.7
E02006418,72.5,71.1,73.9
E02006329,72.2,70.7,73.6
E02004937,73,71.2,74.9
E02003424,73.2,72.1,74.3
E02004926,75.6,74.1,77
E02003811,74,72.4,75.6
E02006421,71.4,70.2,72.6
E02000790,73.4,71.5,75.3
E02004178,71.3,69.9,72.7
E02006004,71.9,70.2,73.6
E02003020,72.1,70.3,74
E02000690,72.9,71.6,74.1
E02002996,72.4,71.2,73.5
E02005917,74.4,73,75.8
E02003439,71.6,70.2,73.1
E02003384,70.4,68.8,72
E02006354,74.1,72.9,75.4
E02003438,72.3,71.1,73.5
E02004966,72.6,71.3,73.8
E02006606,71.3,70,72.6
E02006360,70.1,68.7,71.4
E02000792,72.1,70.8,73.3
E02000133,72.6,71.5,73.7
E02000586,76.5,74.5,78.5
E02003211,71.2,69.6,72.8
E02001504,69.5,68.1,70.9
E02000587,74.7,73,76.3
E02003681,73,71.7,74.3
E02005975,73.3,72,74.6
E02005936,70,68.7,71.3
E02004406,71.6,70.5,72.6
E02005098,73.2,71.9,74.4
E02002613,71.9,70.5,73.3
E02003028,71.1,69.9,72.3
E02006325,76.4,75,77.8
E02006442,76.1,74.3,77.8
E02003805,71.5,70.3,72.6
E02003457,72.9,71.6,74.3
