MSOACode,Value,LowerConfidenceInterval,UpperConfidenceInterval
E02006397,73.9,72.2,75.6
E02004926,74.3,72.9,75.6
E02000592,78.9,76,81.8
E02003862,71.8,68.9,74.8
E02004760,73.2,71.6,74.7
E02006334,74.2,72.5,75.8
E02006332,71.8,70.1,73.6
E02003453,74.1,72.2,76.1
E02003689,74.8,73.4,76.1
E02006457,72.2,70.6,73.8
E02003805,70.4,68.4,72.5
E02000978,79.1,77.3,80.8
E02005976,73.1,71.5,74.8
E02005942,75.8,73.9,77.7
E02004933,71.4,69.6,73.1
E02003858,72.2,70.6,73.7
E02000791,70.8,68.8,72.7
E02003020,74.1,72.7,75.6
E02002099,72,70.6,73.4
E02006354,74.8,73.6,75.9
E02000690,74.3,72.9,75.8
E02006346,74,72.7,75.4
E02004937,73.5,72,75.1
E02005097,73.3,72.2,74.4
E02004966,72.3,70.3,74.2
E02006442,72.2,70,74.3
E02000588,80.2,78.2,82.1
E02005781,72.5,70.8,74.1
E02003454,71.9,70.5,73.2
E02004613,71.4,69.3,73.5
E02003725,73.5,72,75
E02003424,71.8,70.2,73.5
E02004959,71.5,69.7,73.3
E02006420,74.3,73,75.6
E02002613,71.6,69.8,73.4
E02003438,70.7,69.2,72.2
E02003693,70.6,68.5,72.7
E02006823,71.8,70.2,73.4
E02003363,73,71.4,74.6
E02006426,70.2,68.9,71.5
E02000594,70.4,68.7,72.1
E02006465,71.9,70,73.8
E02003390,74.1,72.8,75.5
E02000698,70.6,69.1,72.1
E02006327,74,72.6,75.4
E02001506,73.4,71.3,75.5
E02006606,72.5,71.1,74
E02006445,70.3,68.7,71.8
E02000792,71,69.8,72.3
E02006383,70.5,68.9,72.2
E02006701,70.2,68.4,71.9
E02003448,73.3,71.8,74.9
E02005974,72,70.4,73.7
E02005098,71.9,70.6,73.2
E02004960,74,72.1,75.9
E02003457,74.8,73.4,76.2
E02004652,71.3,69.8,72.7
E02003680,71.9,70.5,73.2
E02004468,73.5,72,74.9
E02006611,72.1,70.9,73.4
E02004994,72.1,70.2,74
E02000801,70.3,68.6,72
E02006329,72.5,70.7,74.3
E02001203,71.3,69.6,73.1
E02005780,72.9,71.6,74.2
E02005995,71.5,70.3,72.6
E02001285,71.7,70.2,73.1
E02006513,71.8,70.5,73.1
E02004761,72.7,71,74.3
E02003369,70.4,68.1,72.7
E02004864,72.2,70.7,73.7
E02002104,71.4,69.8,73
E02004712,72.8,71.5,74.1
E02000970,73.2,71.1,75.4
E02006618,71.6,70.3,72.9
E02006839,70.6,69.1,72.2
E02006321,71.1,69.4,72.9
E02006446,72.5,71,73.9
E02000586,76.1,74.2,78
E02003066,72.5,70.9,74
E02004707,69.9,68.4,71.4
E02006836,70.3,69,71.6
E02003026,72.6,70.9,74.2
E02006875,61.9,57.7,66.1
E02006599,74.5,73.2,75.8
E02000949,66,64.4,67.6
E02006381,70.2,68.8,71.6
E02004727,69.8,68.5,71.1
E02003691,71.8,70.3,73.3
E02004928,75.5,74.1,77
E02004900,72.9,71.2,74.7
E02001228,72.7,70.6,74.8
E02006326,68.7,66.8,70.6
E02004403,72.9,71.2,74.7
E02006458,72.2,70.7,73.6
E02003866,74.1,72.6,75.7
E02003687,70.5,68.8,72.2
E02001648,69.8,68.3,71.2
E02000795,73.1,71.5,74.7
E02000587,76.1,74.1,78
E02004924,73.6,71.8,75.3
E02006566,71.6,70.2,73.1
E02003452,71.5,69.7,73.3
E02006522,71.4,70.1,72.7
E02001284,72.4,71,73.9
E02003354,70.8,69.5,72
E02003458,70.6,69.1,72
E02003715,74.3,72.7,75.9
E02004805,71.3,69.8,72.7
E02002774,70,68.6,71.4
E02002858,68.7,67.3,70.1
E02006707,72.1,70.9,73.3
E02000692,72,70.5,73.6
E02006368,69.9,67.5,72.3
E02003688,72,70.9,73.1
E02006004,70.9,69.3,72.5
E02000923,67.4,65.9,68.8
E02006447,72.9,70.9,74.9
E02003435,72.5,70.8,74.1
E02004838,70.8,69.5,72
E02001830,72.1,71,73.2
E02004759,70.3,68.9,71.8
E02006318,72,70,74.1
E02006838,70,67.4,72.5
E02005767,71.9,70.4,73.3
E02004697,70.2,68.5,71.9
E02006467,71.2,69.5,72.8
E02006519,69.9,68.3,71.4
E02005360,73.7,72.2,75.3
E02003777,69.4,67.8,71.1
E02003704,73.5,71.6,75.4
E02006681,68.8,66.6,71
E02006371,68.9,67.4,70.4
E02006450,70.4,69,71.8
E02002108,72.9,71.4,74.3
E02002335,73.2,71.7,74.7
E02003864,70.8,69.6,71.9
E02000478,68.8,66.4,71.2
E02000785,73.4,71.8,75
E02000789,69.6,67.7,71.4
E02006360,70.1,69,71.2
E02000137,67.7,66.1,69.3
E02004757,73.4,71.8,75
E02004880,70.2,68.6,71.8
E02003353,71.9,70.5,73.3
E02006837,70.9,69.5,72.2
E02004756,70.9,69.4,72.5
E02006325,73.5,72.2,74.8
E02002184,70.7,69.6,71.8
E02003698,73.6,72.2,75
E02001227,73.9,72.5,75.3
E02005167,71.4,69.9,72.9
E02006380,70.2,68.5,71.9
E02002185,69.9,68.2,71.6
E02006781,71.2,68.2,74.1
E02003286,71.1,69.8,72.5
E02005173,71.9,70.5,73.2
E02003439,69.5,67.3,71.6
E02006359,75,73.1,77
E02006182,70.1,68.8,71.3
E02006366,73.5,72.1,74.9
E02006696,70.3,68.6,72
E02004406,68,65.9,70
E02005998,71.3,69.6,72.9
E02004867,69.5,67.9,71.1
E02002996,70.9,69.6,72.2
E02006602,70.4,68.8,72.1
E02003437,67.4,66,68.9
E02005768,71,69.4,72.7
E02003110,70.2,68.7,71.7
E02002614,72,69.3,74.6
E02005928,69.8,68.1,71.4
E02005779,69.7,67.9,71.5
E02006345,73,71.2,74.8
E02004861,71.3,69.6,73
E02006433,71,69.7,72.4
E02006063,71.3,69.8,72.8
E02004846,71.3,70,72.7
E02004839,72.9,71.4,74.5
E02004703,72.6,71.3,73.8
E02003219,69.1,67.5,70.7
E02003426,71.9,70.7,73.1
E02006277,71.2,69.6,72.9
E02003421,70.7,68.8,72.6
E02006328,68.7,67,70.3
E02005945,68.1,66.2,70
E02005978,71.4,70,72.8
E02006569,69.1,67.5,70.7
E02004415,69.8,67.6,72.1
E02004831,72,70.9,73.2
E02004619,70.6,68.9,72.3
E02004405,69.8,67.8,71.7
E02006375,72.4,70.7,74
E02006400,71.4,69.7,73.1
E02003441,70.7,69.3,72
E02004995,71.9,70.6,73.3
E02006589,72.6,71.3,73.9
E02004869,70.6,68.9,72.3
E02005778,71.9,70.4,73.4
E02006362,72.5,71,74.1
E02004679,70,68.7,71.4
E02006378,70.6,69.3,71.9
E02004610,69.4,68,70.9
E02000056,72.4,71.2,73.6
E02006824,72,70.8,73.2
E02004740,70,68,72
E02006386,72.6,71.1,74.1
E02004680,71.5,69.4,73.6
E02003196,72.8,71.8,73.9
E02003842,70.8,69.1,72.5
E02003686,67.6,65.6,69.6
E02003681,72.1,70.7,73.4
E02006183,68.5,67,70.1
E02003674,70.7,68.8,72.6
E02003697,73.2,71.8,74.6
E02006634,70.2,68.7,71.6
E02005172,70.2,68.6,71.8
E02002772,69,67.6,70.3
E02005984,72.2,70.8,73.6
E02000138,71.8,70.6,72.9
E02000436,72.6,71.1,74.2
E02003672,68.3,67,69.7
E02001665,73.4,72.1,74.7
E02003442,72.1,70.2,74
E02004404,73.3,71.8,74.7
E02004974,66.8,65.2,68.3
E02003863,73.5,72.1,75
E02006562,70.7,69,72.4
E02003676,71.4,70.2,72.6
E02004857,68.3,66.5,70
E02004905,69.4,67.9,70.9
E02002994,72.5,71.3,73.7
E02004975,72.3,70.7,73.9
E02004591,70.8,69.2,72.5
E02001223,71.5,70.1,72.9
E02006424,71.9,69.9,73.9
E02004821,70.8,68.8,72.8
E02003449,70.1,67.8,72.3
E02003365,69.6,68.2,71
E02000837,72.3,70.6,74
E02003356,69.6,68,71.3
E02005168,71.5,69.9,73.2
E02006422,71.7,69.7,73.8
E02004689,70.2,67.9,72.5
E02000133,70.1,68.6,71.6
E02004837,71,69.4,72.7
E02003855,71.5,70.3,72.6
E02004793,70.2,68.2,72.1
E02003685,74.4,72.8,75.9
E02005074,69.8,68.3,71.3
E02004496,70.5,69.2,71.8
E02005726,72.6,71.1,74
E02006377,70.2,68.2,72.1
E02001829,71,69.5,72.5
E02003459,70.2,68.6,71.8
E02006454,74.2,72.3,76.2
E02004122,69.4,68.1,70.6
E02001286,71.5,69.9,73.2
E02006603,71.1,69.6,72.6
E02005992,69.9,68.4,71.4
E02000788,71.4,69.8,73
E02000928,69.6,67.8,71.4
E02003373,73.9,72.4,75.3
E02006418,71.5,69.9,73
E02005921,71.3,69.8,72.8
E02002187,72.4,70.6,74.1
E02003784,70.2,68.8,71.6
E02005254,71.1,69.2,73
E02005745,72.1,70.6,73.7
E02003073,73.3,72,74.7
E02003717,71,69.5,72.4
E02005917,73.5,72.3,74.8
E02006440,70.6,69.1,72.2
E02006647,71.6,69.6,73.6
E02000939,69.3,68,70.7
E02004691,70.9,69.6,72.2
E02003446,71.3,69.7,72.8
E02004754,70.1,68.4,71.8
E02005776,69.5,68,70.9
E02000431,73.1,71,75.1
E02006612,67.4,66.2,68.7
E02003723,71.4,69.3,73.5
