MSOACode,Value,LowerConfidenceInterval,UpperConfidenceInterval
E02006397,84.3,82.6,86
E02005976,84,82.2,85.9
E02006332,82.7,81,84.4
E02000791,85,82.8,87.3
E02005097,83.9,82.3,85.6
E02000592,86.4,84.5,88.4
E02005781,87.1,85.2,88.9
E02005995,84.1,82.8,85.3
E02006701,81.1,79.2,83.1
E02000588,88,86.5,89.5
E02005942,89.1,87.6,90.6
E02006334,85.6,83.4,87.9
E02003026,84.5,83.3,85.6
E02006383,84.5,83.3,85.8
E02006426,81.9,80.6,83.2
E02006457,83.9,82.7,85
E02004760,84.8,83.3,86.2
E02003689,87.7,86.2,89.1
E02006420,84.3,82.9,85.7
E02005778,87,85.5,88.5
E02004697,83.3,81.7,84.9
E02006318,85,83.5,86.6
E02006380,83.8,82.3,85.4
E02006346,85.6,84.1,87.2
E02004468,84.8,83.3,86.3
E02003452,87.4,85.2,89.6
E02006839,81.3,79.7,83
E02006321,84.3,82.8,85.8
E02006836,83,81.7,84.2
E02004924,86.9,84.8,88.9
E02004652,83.4,82.1,84.7
E02004959,84.1,82.7,85.5
E02006418,84.1,82.4,85.7
E02006329,83.7,82,85.4
E02004937,84.7,82.6,86.9
E02003424,84.9,83.7,86.2
E02004926,87.7,85.8,89.5
E02003811,85.9,84.2,87.7
E02006421,82.9,81.5,84.2
E02000790,85.2,82.9,87.4
E02004178,82.8,81.1,84.4
E02006004,83.5,81.6,85.4
E02003020,83.7,81.5,85.9
E02000690,84.6,83.1,86.1
E02002996,84,82.8,85.3
E02005917,86.4,84.9,87.9
E02003439,83.2,81.5,84.9
E02003384,81.8,79.9,83.7
E02006354,86.1,84.7,87.6
E02003438,84,82.6,85.4
E02004966,84.3,82.9,85.8
E02006606,82.8,81.4,84.3
E02006360,81.5,79.9,83
E02000792,83.9,82.4,85.3
E02000133,84.5,83.2,85.7
E02000586,89,86.7,91.3
E02003211,82.8,80.9,84.7
E02001504,80.9,79.3,82.6
E02000587,87,85,89
E02003681,85.1,83.6,86.6
E02005975,85.4,84,86.9
E02005936,81.6,80.2,83.1
E02004406,83.5,82.3,84.6
E02005098,85.3,83.8,86.8
E02002613,83.8,82.2,85.4
E02003028,83,81.5,84.4
E02006325,89.2,87.5,90.8
E02006442,88.7,86.8,90.6
E02003805,83.3,82,84.7
E02003457,85.1,83.5,86.6
E02006610,82.3,80.8,83.9
E02004613,86,84.3,87.7
E02006327,87.3,85.5,89.1
E02004757,86.3,85.1,87.4
E02004476,81,79.6,82.4
E02003693,84.9,82.9,87
E02004727,82.3,81,83.6
E02004831,83.8,82.4,85.2
E02002104,83.7,82.4,85
E02001720,85.1,82.9,87.2
E02004203,84.1,82.6,85.5
E02004409,82.8,80.9,84.7
E02006599,91,88.8,93.1
E02003862,85.6,84.5,86.6
E02003066,84.4,83.2,85.6
E02005622,82.6,81.1,84
E02006381,82.9,81.4,84.4
E02006445,83.6,82,85.3
E02006569,83.8,82.7,85
E02005974,84.6,82.8,86.3
E02000595,85.2,83.6,86.8
E02000978,91.5,89.9,93.2
E02003426,84,82.8,85.2
E02004793,84.2,82.8,85.6
E02006565,83.8,82.3,85.2
E02006359,87.4,85.1,89.6
E02006566,85.7,84.4,87
E02006450,83.1,81.7,84.5
E02000799,86.3,84.2,88.4
E02005998,84,82.6,85.3
E02004707,83.9,82.5,85.3
E02006618,84.5,83.4,85.7
E02000939,80.9,79.1,82.7
E02003194,84.2,82.2,86.3
E02004880,84.2,82.6,85.9
E02004506,83.4,81.8,85
E02006681,83.9,82.5,85.3
E02003702,86,84.5,87.4
E02000594,88.1,86.3,89.8
E02006365,85.1,83.5,86.7
E02005779,85.1,83.4,86.8
E02004923,80.7,79.2,82.1
E02003454,82,80.6,83.4
E02003691,84.1,82.3,85.9
E02006371,83.5,82.2,84.7
E02003497,84.3,82.8,85.8
E02002611,82.4,80.6,84.2
E02006595,85.5,83.6,87.4
E02003842,85.8,84.4,87.2
E02003422,84.1,82.8,85.5
E02004994,88.1,86.2,89.9
E02003864,83.9,82.4,85.3
E02004712,87.2,86.1,88.4
E02004696,83.3,81.9,84.7
E02005745,85.8,84.5,87
E02005743,84.6,83.1,86.1
E02002402,79.7,78,81.3
E02005173,85.7,84.3,87.1
E02002183,85.5,83.8,87.2
E02003722,83.6,82.4,84.8
E02000970,85.2,82.5,87.8
E02003354,82.4,81,83.9
E02005167,85,83.9,86.1
E02003437,82.5,80.9,84.1
E02000698,83.2,81.5,85
E02005978,86.8,85.6,87.9
E02006823,87.2,86.1,88.4
E02003672,81.9,80.7,83
E02003429,83.9,82.6,85.1
E02006373,84.6,83.1,86
E02006522,86.1,83.6,88.5
E02003818,82.3,80.8,83.8
E02006433,85.9,84.6,87.1
E02004846,85.7,84.1,87.2
E02005270,83.5,81.9,85.2
E02005396,81.7,79.8,83.6
E02004591,83.4,81.1,85.7
E02003365,82.9,81.4,84.4
E02004024,85.2,83.2,87.3
E02003373,86.8,85.4,88.2
E02004691,83.2,81.8,84.6
E02003716,83.8,82.4,85.2
E02004679,83.4,82.2,84.7
E02003772,85.5,84.2,86.8
E02003459,85.3,83.9,86.7
E02002699,85.1,84.1,86
E02006513,86,84.3,87.7
E02006611,85.8,84.8,86.8
E02006424,86,84.2,87.9
E02004835,85.8,84,87.6
E02005984,85.2,82.9,87.5
E02004830,85.8,84.1,87.6
E02005095,86.9,85.6,88.1
E02000949,79.5,78,80.9
E02006696,86.3,84.6,88
E02004653,80,78.7,81.4
E02006361,87,85.1,88.9
E02005921,81.5,79.1,83.8
E02003686,83.3,81.4,85.3
E02000596,85.5,83.3,87.6
E02006837,85.8,84.8,86.8
E02006375,85,83.6,86.4
E02000147,89,87.8,90.2
E02006328,81.7,80.1,83.3
E02003363,83.8,82,85.5
E02005287,83.2,81.4,84.9
E02003369,85.6,83,88.1
E02005780,86.1,85,87.1
E02005767,85.7,83.8,87.7
E02006719,83.5,81.7,85.3
E02004703,85.3,83.8,86.9
E02006634,84.2,83.1,85.3
E02006615,80.6,79.2,81.9
E02004407,86.9,85.5,88.4
E02006465,85.9,84.1,87.7
E02000584,89.6,87.9,91.4
E02005702,82.3,80.9,83.8
E02002184,84,82.9,85
E02006605,83.4,81.6,85.2
E02006598,80.3,78.2,82.4
E02002994,85.4,83.8,87
E02006592,80.9,78.7,83
E02006607,85.4,83.4,87.3
E02001648,83.9,82.1,85.7
E02005686,81.2,79.1,83.4
E02004122,83.3,82.1,84.6
E02004867,83.6,81.8,85.4
E02001228,85.5,84,87
E02002610,83.5,82.3,84.7
E02004839,87.7,86.4,89
E02006453,83.5,81.7,85.3
E02005352,84.2,82.3,86
E02003897,82.5,80.2,84.8
E02001506,88.7,87.6,89.7
E02005760,80.9,79.2,82.5
E02004315,82.7,81.1,84.3
E02000056,87,85.6,88.4
E02005775,82.9,81.5,84.3
E02006448,87.4,85.9,89
E02001218,83.1,81.1,85.2
E02002108,86.4,84.4,88.4
E02004822,85.8,84.4,87.2
E02000487,85.2,84.2,86.2
E02004424,86.1,84.1,88.1
E02002772,82.5,81,84
E02004869,83.8,81.2,86.3
E02006136,83.5,82,85
E02001194,80.3,78.4,82.1
E02005968,85.4,83.8,87
E02004928,90.7,89.1,92.3
E02006612,81.6,80.4,82.8
E02005370,82.3,80.7,83.9
E02006446,90.9,88.8,93
E02001657,86.4,85,87.8
E02002858,82.8,80.9,84.8
E02000169,87,85.4,88.5
E02006754,83.2,80.8,85.7
E02004774,84.6,83.3,85.9
E02003075,85.4,83.2,87.7
E02001227,89,87.6,90.4
E02006517,86,84.7,87.2
E02004761,86.8,85.1,88.5
E02004755,87.1,85.7,88.6
E02001203,87.8,86.2,89.4
E02004837,86.2,84.4,87.9
E02000785,89,87.4,90.5
E02003005,86.5,84.6,88.4
E02004859,86.5,85,88.1
E02000142,82.7,81.5,83.9
E02006838,86.4,84.4,88.3
E02001494,86.4,84.8,88
E02005905,83.3,82,84.6
E02004500,82.6,81.2,83.9
E02006458,85.7,84.6,86.7
E02006447,88.3,86.9,89.7
E02004706,80.2,78.6,81.9
E02006156,82.6,81,84.1
E02006695,83.4,81.2,85.7
E02005973,87.3,85.5,89
E02003442,86.4,84.6,88.2
E02004608,82.9,81,84.7
E02005074,82.9,81.5,84.3
E02002782,86.4,84.6,88.2
E02006603,86,84.4,87.6
E02006370,82.7,80.4,84.9
E02005109,84.1,82.8,85.3
E02005941,86.9,84.9,89
E02006563,89.6,87.9,91.3
E02004610,86,84.4,87.5
E02003286,85.3,84.1,86.6
E02004249,86.1,83.7,88.6
E02005335,83.2,82,84.4
E02002711,84.6,83.3,85.9
E02005873,82.3,81.1,83.6
E02003210,86.6,85.4,87.7
E02002719,76.7,74.4,78.9
E02006411,85.3,84.1,86.5
E02002337,86.9,85.4,88.3
E02006367,85.5,83.3,87.6
E02005101,86.8,85.2,88.5
E02005368,88.1,85.8,90.4
E02004885,83.2,81.8,84.6
E02006635,83,81.5,84.5
E02006326,85.2,83.8,86.6
E02006280,83.4,81.9,84.8
E02005687,84.4,82.8,86
E02002356,84.5,83.2,85.8
E02004838,85.7,84.4,87
E02005931,81.4,80,82.8
E02003675,84.1,82.7,85.5
E02005930,84.5,83,85.9
E02005308,80.8,78.5,83
E02003777,82.9,81.5,84.4
E02005168,85.9,84.3,87.4
E02004618,89.4,87.9,90.9
E02004933,88.4,86.4,90.4
E02005965,85.1,83.4,86.9
E02005939,87.3,85.7,88.8
E02005972,83.4,81.4,85.3
E02000137,83,81.8,84.1
E02003441,84,82,86
E02001285,87.6,86.3,88.9
E02001283,83,81.6,84.5
E02005639,82.5,80.3,84.7
E02006640,85,83.5,86.5
E02000837,87.3,85.6,89
E02005099,85.7,83.7,87.6
E02003206,83.3,82.1,84.5
E02005619,81.9,80.2,83.6
E02004833,84.7,83.1,86.2
E02006349,83.8,82.2,85.4
E02006709,80.1,78.6,81.7
E02002192,84.3,83.1,85.6
E02006059,86.2,84.4,88.1
E02004943,84.4,83.1,85.8
E02006249,81.6,80,83.3
E02006562,89.6,87.3,91.8
E02004140,85.3,82.2,88.3
E02003455,84.3,82.7,85.9
E02006461,84.7,82.6,86.7
E02006665,83.2,81.9,84.6
E02006277,84,81.8,86.1
E02006416,88.3,86.9,89.7
E02001279,83.6,82,85.3
E02005170,82.7,81.1,84.3
E02003004,80.8,79.4,82.1
E02006542,86.8,84.7,88.9
E02006755,86.9,85.5,88.3
E02004619,85.7,84.5,86.9
E02001830,85.3,83.8,86.9
E02004913,83.1,81.9,84.2
E02000802,83.5,81.9,85.1
E02000436,85.6,83.3,87.9
E02006589,86.7,85.2,88.3
E02001284,86.9,84.9,88.9
E02006504,82.7,80.9,84.5
E02004749,84.7,83.5,85.9
E02004677,84.3,82.6,86
E02005906,84.7,83.2,86.1
E02005254,84.8,82.5,87.1
E02002106,87.3,86.2,88.5
E02003436,85.3,83.7,86.9
E02006655,80.6,78.1,83
E02003458,87.1,85.7,88.5
E02000788,87.4,85.7,89
E02003673,84.8,83.2,86.4
E02006514,85.8,84.4,87.2
E02006571,85.6,84.4,86.9
E02006363,84.9,83.2,86.6
E02004617,85.2,83.5,86.8
E02004197,86,84.4,87.6
E02004962,83.4,82,84.8
E02000395,85.8,83.6,87.9
E02003717,85.5,84,87
E02002336,86.2,84,88.4
E02003624,78.1,75.6,80.6
E02003855,83.4,82.3,84.6
E02006451,85.6,84.1,87.1
E02004599,84.2,82.6,85.7
E02005980,83,81.5,84.5
E02003687,84.3,82.5,86.1
E02003858,87.1,85.4,88.8
E02003440,85.9,84.6,87.2
E02004721,85.1,83.3,86.8
E02000751,84.3,83,85.5
E02006269,82.8,81.3,84.2
E02003678,84.7,82.7,86.7
E02004731,84.2,82.4,86.1
E02004857,83.3,81.2,85.4
E02002774,82.6,80.3,84.8
E02006567,83.7,82.1,85.4
E02004785,84.7,82.9,86.6
E02005090,82.8,81.3,84.3
E02003676,83.8,82.1,85.5
E02005768,87.2,85.7,88.7
E02006292,82.9,81,84.8
E02002718,83.8,82.2,85.4
E02005669,86.3,84.5,88
E02004142,85.6,84.2,86.9
E02003196,87.1,85.9,88.2
E02003356,83.9,82,85.8
E02006153,81.2,79.9,82.5
E02005684,83.4,81.5,85.3
E02006287,83,81,85.1
E02003449,83.9,81.9,85.9
E02004023,86.1,83.4,88.7
E02000923,81.1,79.2,83.1
E02006386,87.6,86.1,89
E02006711,84,82.8,85.1
E02000692,89.5,87.8,91.2
E02002351,84.7,82.2,87.2
E02004735,82.3,80.8,83.7
E02003088,84.3,83.1,85.5
E02001223,84.9,83.8,86
E02003390,88.6,86.6,90.6
E02004905,82.6,81.2,84
E02004754,84.9,82.5,87.3
E02003615,82.8,81.1,84.5
E02003073,84.7,83.5,85.9
E02005945,81.3,78.8,83.7
E02003680,87.3,85.8,88.9
E02004211,84.4,82.9,85.9
E02004415,83.5,81.9,85.1
E02003688,87.6,86.3,88.9
E02002984,77,74.5,79.4
E02000159,88.2,86.9,89.6
E02004827,88.6,86.5,90.7
E02002867,85.5,84,86.9
E02000789,86,84.2,87.7
E02006697,82.8,81.1,84.5
E02000160,84.2,82.7,85.8
E02006322,86.2,84.4,88.1
E02005722,85.1,83.6,86.6
E02005772,83.5,81.2,85.8
E02003069,83.9,82.6,85.1
E02006602,85.4,84.1,86.7
E02002866,81.6,79.7,83.4
E02003609,82,80.7,83.3
E02004795,87.6,86.6,88.7
E02003784,84.5,82.9,86.1
E02004864,88.6,86.2,91.1
E02000526,83.8,81.9,85.6
E02004410,86.6,85.1,88.1
E02004403,86.9,84.8,89.1
E02005598,83.4,81.6,85.3
E02005996,86.9,85.3,88.5
E02000250,85.2,83.4,87
E02004611,83.7,82.2,85.1
E02000333,84,82.5,85.5
E02004601,85.7,84,87.5
E02005535,80.5,79,81.9
E02003860,89.5,87.9,91.1
E02002707,83.6,81.7,85.5
E02003381,82.5,80.6,84.3
E02003725,91.3,89.5,93
E02000612,83.1,81.4,84.7
E02003616,85.4,84,86.8
E02006432,82.1,80.7,83.6
E02000599,84.7,83.4,86.1
E02005154,84.9,83.8,86
E02005324,81.9,80.2,83.5
E02004012,85.8,83.8,87.9
E02004908,83.4,82,84.8
E02006597,84.3,82.7,85.9
E02005732,84.5,83.3,85.8
E02002350,89.4,87.4,91.4
E02004199,84,82.7,85.4
E02003704,88.4,86.1,90.7
E02004752,86.3,84.8,87.7
E02004096,83.4,81.9,84.8
E02001678,85.6,84.5,86.7
E02002778,83,81.6,84.3
E02006700,82.8,81.3,84.3
E02004414,83.2,81.6,84.8
E02004730,84.7,83.4,85.9
E02006824,85.5,84.3,86.7
E02004069,87.7,86.3,89
E02004272,83.4,82.1,84.7
E02006677,83.5,82.3,84.8
E02004699,84.5,83.1,86
E02006781,86.7,84.3,89.1
E02006182,83.4,81.8,85
E02004496,84.3,82.6,85.9
E02004660,84.9,82.7,87
E02006412,87.1,85.3,89
E02000228,88.7,87,90.5
E02004861,87.6,86.1,89.1
E02004823,84.8,83.2,86.5
E02003661,84.6,82.9,86.3
E02004556,84.9,83.2,86.6
E02005786,84.3,81.7,86.8
E02006235,86.5,85.2,87.8
E02005999,83,81.1,84.9
E02002568,83.8,81.9,85.8
E02006378,85.6,84.2,86.9
E02003183,82.4,81.1,83.8
E02004021,85.9,84.5,87.3
E02005315,82.3,80.7,83.9
E02003723,89.4,87.5,91.3
E02001021,81.8,80.3,83.3
E02006829,84.7,83.5,85.8
E02003658,84,82.5,85.4
E02002614,88.6,86.1,91.1
E02005035,79.4,78.1,80.8
E02003731,86.3,84.1,88.4
E02003000,83.8,82.5,85
E02005525,81.6,80.2,82.9
E02004826,82,80.3,83.8
E02004784,83.6,82.5,84.8
E02003916,83.6,82.3,84.8
E02004756,85.3,83.8,86.8
E02003756,80.5,78.5,82.6
E02003526,84.3,83,85.7
E02003767,85,83.7,86.4
E02006648,84,82.3,85.7
E02004801,86.7,84.7,88.7
E02005762,83.7,82,85.5
E02004705,83.6,81.5,85.6
E02006337,87.4,85.7,89.1
E02003367,85.8,83.6,88.1
E02001443,84.1,82.6,85.6
E02006366,88.9,87.2,90.5
E02004019,82.6,80.9,84.4
E02001450,85.4,84.3,86.5
E02001286,87.4,86,88.7
E02006714,82.1,79.7,84.5
E02006455,80.8,78.7,83
E02003837,83.6,82.6,84.7
E02004974,80.8,79.2,82.4
E02006345,85.5,83.6,87.4
E02005993,81,79.2,82.7
E02004200,85.7,83.9,87.4
E02003692,84.7,83.4,86
E02004995,88.4,86.7,90
E02002791,85,83.8,86.2
E02004541,82.8,81.5,84.1
E02005274,82.7,80.8,84.6
E02004044,84.8,82.8,86.8
E02006647,85.7,83.4,87.9
E02002987,85.7,84,87.4
E02002187,88.4,86.6,90.1
E02004732,86.9,85.6,88.2
E02002785,83.2,81.7,84.7
E02004890,81.3,79.6,83
E02004669,85.7,83.9,87.5
E02005979,86,84.6,87.3
E02000795,91.2,89.3,93.1
E02006333,86.6,85.1,88
E02005928,84,82.3,85.8
E02005766,85.8,83.9,87.7
E02000583,87.8,85.9,89.6
E02006641,83.2,81.8,84.5
E02004135,84.4,82.9,86
E02002703,84.9,83.7,86
E02003093,87.5,86.1,88.8
E02006415,86,84.4,87.7
E02005369,86.5,85.4,87.6
E02004405,88.5,86.8,90.2
E02004828,84.9,83.6,86.2
E02005190,80.1,78,82.2
E02004927,87.1,85,89.1
E02004394,81.4,79.3,83.4
E02004267,84.8,82.3,87.2
E02006377,87.1,85.3,89
E02004800,86.2,85.2,87.2
E02000138,87.9,86.1,89.7
E02000163,86.4,84.7,88
E02006347,84.2,82.6,85.7
E02005491,85.1,84,86.2
E02005940,87.7,86,89.5
E02006400,83.4,81.1,85.7
E02003041,87.7,84.9,90.5
E02005375,83.7,81.9,85.4
E02000861,88.1,86.2,90
E02003657,85.6,84.2,87
E02004759,84.5,82.9,86.1
E02005371,82.9,81.5,84.4
E02005911,84.1,82.5,85.6
E02006348,86.1,84.2,88
E02005680,81.4,79.6,83.2
E02004889,81.2,80,82.4
E02005021,83.5,82.2,84.9
E02003456,82.5,80.6,84.5
E02002185,84.5,82.7,86.2
E02004524,84.2,82.8,85.6
E02006591,83.8,82.3,85.3
E02003877,85.2,84.1,86.2
E02004625,84.6,83.6,85.6
E02005630,84.7,83.3,86
E02004819,83.5,82.1,84.8
E02006561,86.4,84.8,88
E02006676,85,83,87
E02004465,86.5,84.8,88.1
E02004925,84.4,82.8,86
E02004842,84.3,82.7,85.9
E02006527,82.4,81,83.7
E02004027,81.7,79.7,83.6
E02006519,85.9,84.5,87.2
E02002254,83,80.8,85.2
E02000506,83.9,82,85.8
E02006619,83.7,82,85.5
E02006112,83.9,82.8,85
