MSOACode,Value,LowerConfidenceInterval,UpperConfidenceInterval
E02006397,82,80,83.9
E02004926,82.5,81,84
E02000592,88,85.1,91
E02003862,80.2,76.8,83.6
E02004760,81.9,80.1,83.6
E02006334,83.1,81.2,85
E02006332,80.5,78.5,82.5
E02003453,83.1,81,85.2
E02003689,84,82.5,85.4
E02006457,81.1,79.4,82.9
E02003805,79.4,77,81.7
E02000978,89.1,87.3,91
E02005976,82.5,80.7,84.3
E02005942,85.6,83.4,87.8
E02004933,80.6,78.6,82.7
E02003858,81.5,79.7,83.4
E02000791,80,77.8,82.2
E02003020,83.9,82.3,85.4
E02002099,81.5,79.8,83.2
E02006354,84.7,83.4,86
E02000690,84.2,82.6,85.8
E02006346,83.9,82.4,85.4
E02004937,83.3,81.6,85
E02005097,83.1,81.9,84.2
E02004966,81.9,79.7,84.1
E02006442,81.8,79.3,84.3
E02000588,90.9,89,92.8
E02005781,82.2,80.4,84
E02003454,81.5,80,83.1
E02004613,80.9,78.5,83.4
E02003725,83.4,81.6,85.1
E02003424,81.6,79.7,83.4
E02004959,81.2,79.1,83.3
E02006420,84.4,83,85.8
E02002613,81.4,79.4,83.5
E02003438,80.4,78.6,82.1
E02003693,80.3,77.8,82.7
E02006823,81.6,79.8,83.4
E02003363,83,81.3,84.7
E02006426,79.9,78.4,81.3
E02000594,80.1,78.1,82.1
E02006465,81.8,79.6,84
E02003390,84.4,82.9,85.9
E02000698,80.4,78.6,82.2
E02006327,84.3,82.7,85.8
E02001506,83.7,81.3,86.1
E02006606,82.7,81.1,84.3
E02006445,80.1,78.3,81.9
E02000792,81,79.5,82.5
E02006383,80.4,78.5,82.4
E02006701,80,78,82.1
E02003448,83.7,82,85.4
E02005974,82.2,80.3,84.2
E02005098,82.1,80.6,83.6
E02004960,84.6,82.5,86.8
E02003457,85.5,84,87
E02004652,81.5,79.9,83
E02003680,82.1,80.6,83.7
E02004468,84,82.3,85.7
E02006611,82.5,81.1,83.9
E02004994,82.5,80.3,84.7
E02000801,80.4,78.4,82.5
E02006329,82.9,80.9,85
E02001203,81.6,79.6,83.6
E02005780,83.4,81.9,84.9
E02005995,81.8,80.6,83
E02001285,82,80.3,83.7
E02006513,82.2,80.7,83.6
E02004761,83.2,81.4,85
E02003369,80.6,77.9,83.3
E02004864,82.6,80.9,84.3
E02002104,81.8,79.9,83.6
E02004712,83.4,82,84.9
E02000970,83.9,81.5,86.3
E02006618,82.1,80.6,83.5
E02006839,80.9,79.2,82.7
E02006321,81.5,79.4,83.7
E02006446,83,81.3,84.7
E02000586,87.3,85.3,89.2
